	CARD_CAMBODIA_30_SAMPLE_POOL	CARD_CAMBODIA_POP_POOL	CARD_FC3013	CARD_FC3030	CARD_FC3032	CARD_FC3052	CARD_FC3053	CARD_FC3056	CARD_FC3059	CARD_FC3066	CARD_FC3085	CARD_FC3120	CARD_FC3123	CARD_FC3124	CARD_FC3128	CARD_FC3129	CARD_FC3132	CARD_FC3137	CARD_FC3138	CARD_FC3139	CARD_FC3148	CARD_FC3156	CARD_FC3166	CARD_FC3175	CARD_FC3185	CARD_FC3189	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL	CARD_NCS-ST-0002	CARD_NCS-ST-0003	CARD_NCS-ST-0009	CARD_NCS-ST-0012	CARD_NCS-ST-0047	CARD_NCS-ST-0049	CARD_NCS-ST-0051	CARD_NCS-ST-0065	CARD_NCS-ST-0073	CARD_NCS-ST-0079	CARD_NCS-ST-0106	CARD_NCS-ST-0110	CARD_NCS-ST-0114	CARD_NCS-ST-0122	CARD_NCS-ST-0129	CARD_NCS-ST-0133	CARD_NCS-ST-0170	CARD_NCS-ST-0175	CARD_NCS-ST-0176	CARD_NCS-ST-0177	CARD_NCS-ST-0191	CARD_NCS-ST-0210	CARD_NCS-ST-0217	CARD_NCS-ST-0233	CARD_NCS-ST-0242	CARD_NCS-ST-0247	CARD_NCS-ST-0251	CARD_NCS-ST-0252	CARD_NCS-ST-0256	CARD_NCS-ST-0257	CARD_NCS-ST-0263	CARD_NCS-ST-0271	CARD_NCS-ST-0296	CARD_NCS-ST-0327	CARD_NCS-ST-0340	CARD_NCS-ST-0341	CARD_NCS-ST-0344	CARD_NCS-ST-0357	CARD_NCS-ST-0369	CARD_NCS-ST-0380	CARD_NCS-ST-0389	CARD_NCS-ST-0409	CARD_NCS-ST-0413	CARD_NCS-ST-0416	CARD_NCS-ST-0417	CARD_NCS-ST-0423	CARD_NCS-ST-0426	CARD_NCS-ST-0429	CARD_NCS-ST-0438	CARD_NCS-ST-0449	CARD_NCS-ST-0454	CARD_NCS-ST-0457	CARD_NCS-ST-0470	CARD_NCS-ST-0471	CARD_PK0005	CARD_PK0006	CARD_PK0007	CARD_PK0011	CARD_PK0012	CARD_PK0015	CARD_UK-102	CARD_UK-139	CARD_UK-175	CARD_UK-176	CARD_UK-181	CARD_UK-184	CARD_UK-186	CARD_UK-188	CARD_UK-189	CARD_UK-191	CARD_UK-192	CARD_UK-196	CARD_UK-37	CARD_UK-3	CARD_UK-4	CARD_UK-57	CARD_UK-58	CARD_UK-62	CARD_UK-64	CARD_UK-65	CARD_UK-66	CARD_UK-68	CARD_UK-70	CARD_UK-71	CARD_UK-73	CARD_UK-75	CARD_UK-77	CARD_UK-78	CARD_UK-83	CARD_UK-8	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL
3003893_HG738867	3268.0	1892.0	62.0	54.0	255.0	16.0	151.0	3208.0	2203.0	310.0	10.0	28.0	2.0	21.0	61.0	731.0	451.0	52.0	4.0	90.0	4.0	123.0	456.0	43.0	87.0	880.0	1135.0	903.0	0.0	701.0	64.0	5065.0	0.0	64.0	143.0	28.0	259.0	291.0	0.0	245.0	0.0	34.0	7825.0	17.0	51.0	0.0	22.0	34.0	3.0	202.0	2022.0	5114.0	9.0	0.0	5.0	0.0	0.0	1694.0	329.0	1667.0	864.0	7523.0	54.0	1860.0	0.0	2.0	1.0	0.0	8.0	8415.0	2.0	15.0	0.0	1765.0	9.0	167.0	1786.0	4.0	20.0	2989.0	8.0	3.0	214.0	53.0	203.0	379.0	1215.0	86.0	2.0	34.0	205.0	0.0	1.0	1.0	0.0	30.0	361.0	288.0	511.0	0.0	27.0	11.0	6350.0	40.0	0.0	17.0	2073.0	0.0	584.0	1.0	46.0	48.0	147.0	545.0	380.0	19.0	1298.0	175.0	758.0	2343.0
3003319_HM140977	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
3003866_KP881240.1	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004453_M11587.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	182.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	11.0	5.0
3004049_NC_000913.3	7852.0	5943.0	177.0	20.0	407.0	39.0	231.0	3449.0	1872.0	402.0	18.0	101.0	7.0	35.0	46.0	502.0	301.0	63.0	19.0	105.0	8.0	2557.0	1307.0	46.0	542.0	2348.0	2031.0	1647.0	1.0	5001.0	2450.0	3353.0	94.0	78.0	73.0	634.0	228.0	278.0	1.0	8699.0	1.0	37.0	8035.0	77.0	5788.0	0.0	109.0	8662.0	192.0	8262.0	7323.0	4253.0	1257.0	0.0	12.0	54.0	1.0	5535.0	1081.0	6549.0	3788.0	7330.0	6371.0	2103.0	1569.0	149.0	14.0	637.0	3484.0	9149.0	167.0	3374.0	5.0	1568.0	290.0	183.0	3131.0	335.0	4958.0	2779.0	8474.0	346.0	321.0	87.0	571.0	453.0	5566.0	183.0	7.0	3199.0	6124.0	4.0	3260.0	1055.0	3.0	2824.0	5078.0	1947.0	3564.0	1.0	3473.0	5078.0	6334.0	10731.0	2.0	56.0	9984.0	1.0	822.0	2313.0	86.0	8532.0	5635.0	4620.0	10556.0	3101.0	5616.0	6182.0	9419.0	12021.0
3004290_NC_000913.3	2928.0	1851.0	43.0	69.0	23.0	6.0	130.0	4195.0	2862.0	63.0	4.0	6.0	8.0	23.0	49.0	425.0	188.0	11.0	3.0	30.0	3.0	40.0	714.0	53.0	76.0	348.0	945.0	651.0	0.0	528.0	325.0	668.0	3.0	99.0	160.0	40.0	393.0	464.0	0.0	9.0	0.0	57.0	873.0	15.0	637.0	0.0	8.0	677.0	10.0	886.0	927.0	8105.0	200.0	0.0	3.0	21.0	1.0	1472.0	188.0	1482.0	922.0	13741.0	55.0	15.0	177.0	12.0	0.0	4.0	8.0	1295.0	1.0	130.0	1.0	153.0	8.0	12.0	764.0	35.0	4.0	374.0	4732.0	1.0	83.0	56.0	169.0	394.0	1257.0	36.0	0.0	498.0	135.0	0.0	288.0	113.0	0.0	293.0	576.0	251.0	725.0	0.0	284.0	490.0	4154.0	82.0	0.0	7.0	2304.0	0.0	75.0	209.0	35.0	920.0	14.0	1075.0	1435.0	344.0	1272.0	289.0	1146.0	2425.0
3004166_NR_076151.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003294_U00096.3	8049.0	5611.0	170.0	33.0	551.0	9.0	308.0	11094.0	4803.0	697.0	15.0	57.0	8.0	65.0	41.0	879.0	906.0	97.0	15.0	157.0	6.0	643.0	1539.0	62.0	303.0	3027.0	3173.0	2082.0	0.0	3120.0	720.0	3603.0	15.0	151.0	194.0	142.0	549.0	656.0	2.0	5072.0	0.0	76.0	6883.0	108.0	2280.0	0.0	171.0	1992.0	64.0	4895.0	15246.0	10595.0	485.0	2.0	31.0	66.0	1.0	7819.0	1727.0	9775.0	4358.0	10436.0	1324.0	2819.0	621.0	61.0	2.0	114.0	672.0	20794.0	107.0	926.0	2.0	4011.0	153.0	433.0	3869.0	122.0	1655.0	6761.0	3733.0	108.0	370.0	105.0	849.0	863.0	7208.0	292.0	6.0	1524.0	3442.0	1.0	444.0	316.0	2.0	1175.0	1622.0	730.0	3772.0	1.0	695.0	709.0	13239.0	1822.0	2.0	96.0	13395.0	25.0	411.0	453.0	171.0	3093.0	2981.0	2762.0	5455.0	1441.0	7508.0	3462.0	5566.0	8575.0
3003485_AB001778.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003702_AB003428.1	3.0	8.0	6477.0	0.0	0.0	22.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	471.0	89.0	0.0	0.0	0.0	0.0	0.0	37.0	46.0	41.0	66.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	4.0	31.0	0.0	0.0	0.0	16.0	0.0	280.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	4.0	0.0	0.0	0.0	10.0	351.0	65.0	0.0	0.0	0.0	0.0	37.0	6.0
